pair_id,Alice_basis,Alice_outcome
171,138.12130514896376,-1
172,138.12130514896376,1
173,138.12130514896376,1
174,84.93717955875263,-1
175,138.12130514896376,1
176,84.93717955875263,1
177,84.93717955875263,1
178,84.93717955875263,1
179,138.12130514896376,1
180,138.12130514896376,-1
181,84.93717955875263,-1
182,138.12130514896376,-1
183,138.12130514896376,-1
184,138.12130514896376,-1
185,138.12130514896376,1
186,138.12130514896376,-1
187,138.12130514896376,-1
188,84.93717955875263,-1
189,84.93717955875263,-1
190,84.93717955875263,1
191,84.93717955875263,1
192,138.12130514896376,1
193,138.12130514896376,-1
194,138.12130514896376,1
195,84.93717955875263,1
196,138.12130514896376,-1
197,84.93717955875263,1
198,84.93717955875263,1
199,138.12130514896376,1
200,84.93717955875263,1
201,84.93717955875263,1
202,84.93717955875263,-1
203,84.93717955875263,1
204,84.93717955875263,-1
205,84.93717955875263,-1
206,84.93717955875263,-1
207,84.93717955875263,-1
208,84.93717955875263,-1
209,84.93717955875263,1
210,138.12130514896376,-1
211,138.12130514896376,-1
212,138.12130514896376,1
213,84.93717955875263,-1
214,138.12130514896376,1
215,84.93717955875263,1
216,84.93717955875263,1
217,84.93717955875263,-1
218,84.93717955875263,-1
219,138.12130514896376,-1
220,84.93717955875263,-1
221,84.93717955875263,1
222,138.12130514896376,1
223,84.93717955875263,1
224,84.93717955875263,1
225,84.93717955875263,-1
226,138.12130514896376,1
227,84.93717955875263,-1
228,138.12130514896376,1
229,84.93717955875263,-1
230,138.12130514896376,-1
231,84.93717955875263,1
232,138.12130514896376,1
233,84.93717955875263,-1
234,84.93717955875263,1
235,84.93717955875263,1
236,138.12130514896376,-1
237,84.93717955875263,-1
238,138.12130514896376,-1
239,138.12130514896376,1
240,138.12130514896376,1
241,84.93717955875263,1
242,138.12130514896376,1
243,138.12130514896376,-1
244,138.12130514896376,1
245,138.12130514896376,1
246,138.12130514896376,1
247,84.93717955875263,1
248,84.93717955875263,1
249,84.93717955875263,-1
250,84.93717955875263,1
251,84.93717955875263,-1
252,84.93717955875263,1
253,84.93717955875263,1
254,138.12130514896376,-1
255,138.12130514896376,1
256,84.93717955875263,-1
257,84.93717955875263,1
258,84.93717955875263,1
