pair_id,Bob_basis,Bob_outcome
142,161.30641196996532,-1
143,34.97942772230273,-1
144,161.30641196996532,1
145,161.30641196996532,1
146,34.97942772230273,1
147,161.30641196996532,-1
148,161.30641196996532,1
149,34.97942772230273,1
150,34.97942772230273,1
151,161.30641196996532,-1
152,34.97942772230273,1
153,161.30641196996532,1
154,34.97942772230273,1
155,34.97942772230273,-1
156,161.30641196996532,-1
157,161.30641196996532,-1
158,34.97942772230273,1
159,34.97942772230273,-1
160,34.97942772230273,-1
161,34.97942772230273,1
162,161.30641196996532,-1
163,34.97942772230273,1
164,161.30641196996532,1
165,161.30641196996532,-1
166,161.30641196996532,1
167,34.97942772230273,-1
168,161.30641196996532,-1
169,34.97942772230273,-1
170,34.97942772230273,-1
171,161.30641196996532,-1
172,161.30641196996532,1
173,161.30641196996532,1
174,161.30641196996532,1
175,161.30641196996532,1
176,161.30641196996532,-1
177,161.30641196996532,-1
178,161.30641196996532,-1
179,161.30641196996532,1
180,161.30641196996532,-1
181,161.30641196996532,1
182,161.30641196996532,1
183,161.30641196996532,1
184,161.30641196996532,-1
185,34.97942772230273,-1
186,161.30641196996532,-1
187,34.97942772230273,-1
188,161.30641196996532,1
189,161.30641196996532,1
190,161.30641196996532,-1
191,34.97942772230273,1
192,161.30641196996532,1
193,161.30641196996532,-1
194,34.97942772230273,-1
195,34.97942772230273,-1
196,161.30641196996532,-1
197,34.97942772230273,1
198,161.30641196996532,-1
199,34.97942772230273,1
200,34.97942772230273,-1
201,161.30641196996532,-1
202,34.97942772230273,1
203,34.97942772230273,1
204,161.30641196996532,1
205,34.97942772230273,-1
206,34.97942772230273,1
207,161.30641196996532,1
208,161.30641196996532,1
209,161.30641196996532,-1
210,161.30641196996532,-1
211,161.30641196996532,-1
212,34.97942772230273,-1
213,161.30641196996532,1
214,161.30641196996532,1
215,161.30641196996532,-1
216,161.30641196996532,-1
217,161.30641196996532,-1
218,34.97942772230273,-1
219,34.97942772230273,1
220,34.97942772230273,1
221,34.97942772230273,-1
222,34.97942772230273,-1
223,34.97942772230273,1
224,34.97942772230273,1
225,34.97942772230273,1
226,34.97942772230273,-1
227,161.30641196996532,1
228,34.97942772230273,-1
229,161.30641196996532,1
230,161.30641196996532,-1
231,161.30641196996532,-1
232,34.97942772230273,-1
233,34.97942772230273,-1
234,34.97942772230273,1
235,34.97942772230273,-1
236,161.30641196996532,-1
237,161.30641196996532,1
238,161.30641196996532,-1
239,161.30641196996532,-1
240,161.30641196996532,1
241,161.30641196996532,1
242,34.97942772230273,-1
243,34.97942772230273,1
244,161.30641196996532,1
245,34.97942772230273,-1
246,34.97942772230273,-1
247,161.30641196996532,-1
248,161.30641196996532,-1
249,34.97942772230273,-1
250,161.30641196996532,-1
251,161.30641196996532,1
252,161.30641196996532,-1
253,34.97942772230273,-1
254,161.30641196996532,-1
255,161.30641196996532,1
256,161.30641196996532,1
257,161.30641196996532,-1
258,34.97942772230273,-1
259,161.30641196996532,1
260,34.97942772230273,-1
261,34.97942772230273,-1
262,161.30641196996532,1
263,34.97942772230273,1
264,161.30641196996532,1
265,161.30641196996532,-1
266,161.30641196996532,1
267,161.30641196996532,1
268,161.30641196996532,1
269,34.97942772230273,1
270,161.30641196996532,-1
271,161.30641196996532,1
272,34.97942772230273,-1
273,161.30641196996532,1
274,34.97942772230273,1
275,34.97942772230273,-1
276,34.97942772230273,1
277,34.97942772230273,-1
278,34.97942772230273,1
279,34.97942772230273,-1
280,34.97942772230273,1
281,34.97942772230273,1
282,34.97942772230273,-1
283,34.97942772230273,1
284,161.30641196996532,1
285,34.97942772230273,1
286,161.30641196996532,1
287,34.97942772230273,-1
288,161.30641196996532,-1
289,34.97942772230273,-1
290,161.30641196996532,-1
291,161.30641196996532,1
292,161.30641196996532,-1
293,34.97942772230273,-1
294,34.97942772230273,-1
295,161.30641196996532,-1
296,34.97942772230273,1
297,161.30641196996532,1
298,34.97942772230273,1
299,34.97942772230273,1
300,161.30641196996532,-1
301,161.30641196996532,1
302,34.97942772230273,-1
303,161.30641196996532,-1
304,34.97942772230273,-1
305,161.30641196996532,-1
306,34.97942772230273,-1
307,161.30641196996532,-1
308,34.97942772230273,-1
309,34.97942772230273,1
310,161.30641196996532,-1
311,34.97942772230273,1
312,34.97942772230273,-1
313,161.30641196996532,1
314,34.97942772230273,1
315,34.97942772230273,-1
316,161.30641196996532,1
317,34.97942772230273,-1
318,34.97942772230273,1
319,161.30641196996532,-1
320,161.30641196996532,-1
321,161.30641196996532,1
322,34.97942772230273,1
323,34.97942772230273,1
324,161.30641196996532,-1
325,34.97942772230273,1
326,161.30641196996532,1
327,34.97942772230273,1
328,161.30641196996532,-1
329,34.97942772230273,-1
330,34.97942772230273,1
331,34.97942772230273,-1
332,34.97942772230273,1
333,34.97942772230273,-1
334,161.30641196996532,-1
335,34.97942772230273,-1
336,34.97942772230273,1
